Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
88ded14ee3499a471f4f7530f389f2caf0b10c656bdb0d9b33d9a4be7a93356c,2019-07,South Wales Police,South Wales Police,-3.686323,51.483333,On or near ST ANNE'S CRESCENT,W01001030,Bridgend 019B,Investigation complete; no suspect identified
953d6d77a9e9e277673bf71a5833e8847cba8df2bfeb6fce9447dc03f925c141,2019-07,South Wales Police,South Wales Police,-3.650508,51.608943,On or near LEWIS ROAD,W01001014,Bridgend 002A,Investigation complete; no suspect identified
6b47a1086e9addd586db6d8546ee05025ba008a41d3f7cddf5a267fc5b873b62,2019-07,South Wales Police,South Wales Police,-3.371864,51.748505,On or near CAE MARI DWN,W01001315,Merthyr Tydfil 004D,Investigation complete; no suspect identified
a9292d2f23a94f22bf2fe236c2e0197dddd9d2a7651d8e9b6fbc8d9afe4a8ed6,2019-07,South Wales Police,South Wales Police,-3.344658,51.599079,On or near GROVER STREET,W01001182,Rhondda Cynon Taf 021A,Investigation complete; no suspect identified
9c9fbe2aa08f853d53893fd94315a1df318f0ed584542eda86938f6bee4fc66c,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f2a2363909197dbc21938d696a9cf3a3b6f7f0320389834d17cc5453c74e8fe8,2019-07,South Wales Police,South Wales Police,-3.175631,51.475503,On or near ST MARY STREET,W01001952,Cardiff 049F,Investigation complete; no suspect identified
4db74cca093fef30ecb706d4d11ad89f0c46a7cbbffb487888fc3d79757e40b1,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
36c786ab84da5927be064ba1f9afa726c8818a46b4062513614012a63ca0b17c,2019-07,South Wales Police,South Wales Police,-3.254004,51.413482,On or near MAIN STREET,W01001069,The Vale of Glamorgan 012C,Investigation complete; no suspect identified
1e6a044cb543d46d4f7b0fd85bc3ae56a58c056c457545e65f46fc2e060c567a,2019-07,South Wales Police,South Wales Police,-3.179139,51.480314,On or near Nightclub,W01001941,Cardiff 032G,Investigation complete; no suspect identified
5ac7877df6fcebd403234d747493934ca0c512241508db5d24a062cd55119460,2019-07,South Wales Police,South Wales Police,-3.660104,51.604383,On or near SCHOOL ROAD,W01001017,Bridgend 002C,Investigation complete; no suspect identified
4dd4d04cce7853fc328a9e3daa104095d4447c909a1121db614fb99816e786bd,2019-07,South Wales Police,South Wales Police,-3.940753,51.622810,On or near SOUTH PROSPECT,W01001955,Swansea 025F,Investigation complete; no suspect identified
17d6dfe451e2f3bcbabc800d2577f2e8af7e2f40f7faf955413d778488c96589,2019-07,South Wales Police,South Wales Police,-3.162825,51.493983,On or near BLENHEIM ROAD,W01001830,Cardiff 033B,Investigation complete; no suspect identified
17177731586149a7f6e371ace8ddf0c035fb447e43c2af750d49e91e88c009f9,2019-07,South Wales Police,South Wales Police,-3.966935,51.614236,On or near FINSBURY TERRACE,W01000873,Swansea 026C,Investigation complete; no suspect identified
3f7eb499d37054fbabba201387cdf23f8db1825982d84ede353542c94ac3d069,2019-07,South Wales Police,South Wales Police,-3.569767,51.495958,On or near PICTON GARDENS,W01001037,Bridgend 013B,Investigation complete; no suspect identified
1154327d16af60b622bc552e3b804be2304845189dd747ac5108845dc79e437e,2019-07,South Wales Police,South Wales Police,-3.941746,51.636246,On or near HAFOD PARK,W01000790,Swansea 016F,Investigation complete; no suspect identified
b65945dcb5c7f096b9fa2a81074c83b305e755c82170fb9fc10ba52000663d44,2019-07,South Wales Police,South Wales Police,-3.991842,51.612692,On or near BRYNNEWYDD GARDENS,W01000861,Swansea 027D,Investigation complete; no suspect identified
dc322576eca473200000c4d6be906eb0abc0e9fa5f75dc77011942c8ebabbd7b,2019-07,South Wales Police,South Wales Police,-3.171004,51.483192,On or near NEWPORT ROAD,W01001939,Cardiff 032F,Investigation complete; no suspect identified
01a6f3042d4ba52d3a9546374cc62f421ea459622a48990196e88db10b115a79,2019-07,South Wales Police,South Wales Police,-3.340232,51.764362,On or near COEDCAE ROW,W01001297,Merthyr Tydfil 002C,Investigation complete; no suspect identified
4fde41e444ec2e3b76abd1e04cb393d44cce8e2377dc15d4981ec2773a4b7be8,2019-07,South Wales Police,South Wales Police,-3.197089,51.502585,On or near Pedestrian Subway,W01001757,Cardiff 025C,Investigation complete; no suspect identified
14d189ce740fff61e7f537bd4b9a29e0193796046dca87c954845453d9f8ea90,2019-07,South Wales Police,South Wales Police,-3.184188,51.448405,On or near WATKISS WAY,W01001945,Cardiff 048D,Investigation complete; no suspect identified
fb3e9cb53844646262e9e62da9c67dbcf48d8e7e85f795803ba4deaad07f899f,2019-07,South Wales Police,South Wales Police,-3.155247,51.475121,On or near GALDAMES PLACE,W01001874,Cardiff 038D,Investigation complete; no suspect identified
63d4f3b4200245e5004924e1250858f5990816e515cc630f8ab5244a31b36095,2019-07,South Wales Police,South Wales Police,-3.951711,51.627691,On or near CREIDIOL ROAD,W01000746,Swansea 025C,Investigation complete; no suspect identified
