Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
be7883773502c35d79d887091d96318521431c6d19282f6950eaee6c6c12c2b1,2017-02,Essex Police,Essex Police,0.215046,51.979438,On or near Parking Area,E01022072,Uttlesford 003C,Investigation complete; no suspect identified
9672e3399469891f3d83ada479ac01ba08f5d530d0e912e1cde00d50a63c1d96,2017-02,Essex Police,Essex Police,0.504052,51.566305,On or near Supermarket,E01021316,Basildon 018D,Investigation complete; no suspect identified
c61b0e56c0804f414f8618d865d7d866cbc4a4b53f225fefbe2d82602b8a2657,2017-02,Essex Police,Essex Police,0.610543,51.642244,On or near VICTORIA ROAD,E01021615,Chelmsford 019E,Investigation complete; no suspect identified
f476a55bc6f47caeec8503542713eb976e0c6d1f10f31a545d80854d0b3a93d6,2017-02,Essex Police,Essex Police,0.679219,51.739265,On or near CREASEN BUTT CLOSE,E01021887,Maldon 003D,Investigation complete; no suspect identified
3d90e2c2098f6c65a3c280944574458f20c4967b6a8f4debff2a62ca336b29d7,2017-02,Essex Police,Essex Police,0.110305,51.761985,On or near CHURCH LEYS,E01021820,Harlow 006B,Investigation complete; no suspect identified
f6c0511aba6dbd8be556a822da6decc8b8e0500bb88fd06befc65d6fd4a81601,2017-02,Essex Police,Essex Police,0.254787,51.484848,On or near BANNER CLOSE,E01015921,Thurrock 015A,Investigation complete; no suspect identified
188e71c44a377d7f2ffd1ddd132ccb73b48b7259fbe9c9fc90d8cd47d04c50fa,2017-02,Essex Police,Essex Police,0.215046,51.979438,On or near Parking Area,E01022072,Uttlesford 003C,Investigation complete; no suspect identified
ea3f3bda13c3b19c923b1596dffd6088d56a1b55d27e42da1231f680c3d447e8,2017-02,Essex Police,Essex Police,0.693247,51.544045,On or near WEST ROAD,E01015900,Southend-on-Sea 010F,Investigation complete; no suspect identified
2e3c61902ba7707065f47187e27ebfa908b2fe463c7acfb319222136a8e9c45b,2017-02,Essex Police,Essex Police,0.066970,51.754266,On or near RED WILLOW,E01021829,Harlow 009A,Investigation complete; no suspect identified
fd033fa689a41219670881bbf7fb5fd04da86fd2ee89aade32b5e2af4f2eb7f1,2017-02,Essex Police,Essex Police,0.926316,51.881972,On or near HYTHE QUAY,E01021685,Colchester 011C,Investigation complete; no suspect identified
42023adab93f9374428fa474e720a6fd5709c5890c381a2efc3d103959e02d2d,2017-02,Essex Police,Essex Police,0.258101,52.023330,On or near FERGUSON CLOSE,E01022079,Uttlesford 002D,Investigation complete; no suspect identified
e50930c80b6c8fad3e0d15a30613f1f4d612a03f189f8fb78f4c86d4c359cd58,2017-02,Essex Police,Essex Police,0.916412,51.881867,On or near HARSNETT ROAD,E01021688,Colchester 011F,Investigation complete; no suspect identified
