Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1d53358427ea61f546df1e917b46d3bbf5d61e3381a06014b26b65d020c873f9,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.127704,52.078710,On or near Supermarket,E01029976,Ipswich 002D,Investigation complete; no suspect identified
c0c952c6120b9eef9616e357dbd5432b5bc86783cc2f48ac9658bc95dc875823,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.217045,52.037809,On or near BUCKLESHAM ROAD,E01030197,Suffolk Coastal 011B,Investigation complete; no suspect identified
81e7e07e2f90894e1ab5de8aa4ecb67bbaabaada244a57ce3c42b4d87367119a,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.342108,51.967883,On or near KEMSLEY ROAD,E01030159,Suffolk Coastal 013D,Investigation complete; no suspect identified
32129cecb4539d56aed74d79d2ea52f8f69bd260069307f543e538de4cb8df01,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.127704,52.078710,On or near Supermarket,E01029976,Ipswich 002D,Investigation complete; no suspect identified
4daa5fe60ff6f9aea8017f0e24c08ecae6c7bcb5703c39d67eeb97f3e96f4c18,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.185664,52.058557,On or near MANDY CLOSE,E01030003,Ipswich 008B,Investigation complete; no suspect identified
9cb2c2eb7935ff89005414ae8e6fd4c0dcf52283a6f245db09d89afd88e95f48,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.807547,52.250819,On or near HUNTER DRIVE,E01030084,Mid Suffolk 004D,Investigation complete; no suspect identified
6cfc2432e63bb784df3368b5abbcb97665b4ce68ab2ce18c0ea8bfe70cbd9e55,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.127111,52.079203,On or near Supermarket,E01030032,Ipswich 001A,Investigation complete; no suspect identified
2e855858a1dc94769452e52bb0cc048c01f978b811a7bf9adb93fce3da0095ce,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.147364,52.044657,On or near LA SALLE CLOSE,E01029970,Ipswich 012C,Investigation complete; no suspect identified
036321ecaf52fa632304b7b926513f4eaa50c3df10afb380423ea9f820615457,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.208269,52.032562,On or near WEST ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
a76dee4863331cc08b1295dc7f057401e0ec7252017081db7ea6d8f59c0d18c4,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.147516,52.059889,On or near ST MATTHEW'S STREET,E01029988,Ipswich 010E,Investigation complete; no suspect identified
ebfe328481c6b4b1f36031433655d95e093b0a37de6b1553046f1ed1f1eab53f,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.131936,52.058901,On or near Supermarket,E01029985,Ipswich 010B,Investigation complete; no suspect identified
1a27f25d2b1fad9e83a23938f2090e700c18058fc7d012408444d124c92cb167,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.153387,52.056035,On or near FALCON STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
b77759d9b0ad2af731d7355f8b46bdf8e8d5748b0e3e2f6c6f2f847fafae3b1e,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.153788,52.054477,On or near ROSE LANE,E01033124,Ipswich 007F,Investigation complete; no suspect identified
37e367615be535b21545a27cb0de45d2bd2e5dd773e59f35d306521ad4528a29,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.138035,52.079901,On or near Supermarket,E01029975,Ipswich 002C,Investigation complete; no suspect identified
b39a7cc6ee117cc730e42dd42e8e64d1630690f7dad839061d073613aeadb8b1,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.058788,51.970176,On or near PARK ROAD,E01029872,Babergh 010B,Investigation complete; no suspect identified
9b33125c325cf1475fe7bd6decada335c7e240e79d3655fe077f81a5c264aa80,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.188546,52.032666,On or near BRAZIER'S WOOD ROAD,E01033128,Ipswich 014F,Investigation complete; no suspect identified
5e748285b2b9efc96e0e19aa4bb59b776942e8c013c71bc8b38db6e82bcfac2c,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.157503,52.052966,On or near KEY STREET,E01033124,Ipswich 007F,Investigation complete; no suspect identified
a3898c07c3574c2e969f5108691d3efcdfa9056cca62ee869f32cad21263ede0,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.115106,51.989186,On or near Park/Open Space,E01029871,Babergh 011A,Investigation complete; no suspect identified
055f31f81fe17b47765f3aa1ff5ef8700c45a26ff8237f8d1f63f0744662e24e,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.724182,52.051304,On or near CRAYFORD ROAD,E01029917,Babergh 003C,Investigation complete; no suspect identified
