Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fc101f2c5a75d9d4dba010b5bdeb89aa0f58ee06cfb862d1624e50c756c1089a,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.138035,52.079901,On or near Supermarket,E01029975,Ipswich 002C,Investigation complete; no suspect identified
231acf6371f9e76514858a7a85e85c05ee4be530d2eac45438c89c422183a1dc,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.208269,52.032562,On or near WEST ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
c51dcd987d0a12083cb57aa7a0c025517b8ad3577c52f08997c7fbb9d1256dbe,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.132389,52.067028,On or near Supermarket,E01030022,Ipswich 006A,Investigation complete; no suspect identified
b255e1986917391e26685aa87fbb32dd99f6464f2f57387c942774c7afd75dde,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.718190,52.242318,On or near HONEY HILL,E01030093,St Edmundsbury 006B,Investigation complete; no suspect identified
5d6d680f1976b9f052e6a897824b37d63387d27512de59836c489ac5ad5d2cb0,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.915306,52.231442,On or near PRESCOTT DRIVE,E01030051,Mid Suffolk 006A,Investigation complete; no suspect identified
506b03abe4829b7f3d30364b5a7370c8c91795f3510174f748d6996621af8318,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.718190,52.242318,On or near HONEY HILL,E01030093,St Edmundsbury 006B,Investigation complete; no suspect identified
891dff1c78382cc03cb06a34278b6334f6f1aa04c8e40733fa03c58bf60b5f88,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.293965,52.374471,On or near FRIARS MEADOW,E01030053,Mid Suffolk 003A,Investigation complete; no suspect identified
302936a801889fc5891c6da74237db46c11a929b13fa33207332ef4c73bcd71b,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.958643,52.042715,On or near GAELL CRESCENT,E01029896,Babergh 004E,Investigation complete; no suspect identified
9e181cfa75028bd6b48ab84586f6c0a70b535c9bf4f3e1a54a66827aa0b1b14a,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.156285,52.057621,On or near NORTHGATE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
ebe2f117ad70d1bd561c70e467958f87a75cc3561ef340bce912d45a2e73f21e,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.195615,52.032618,On or near CHASER CLOSE,E01033128,Ipswich 014F,Investigation complete; no suspect identified
6a2320bfd34a77389755902e46e2da61a55c11ad84aa5736f9fcc5158c2f71a7,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.097294,52.075691,On or near Supermarket,E01030044,Mid Suffolk 012B,Investigation complete; no suspect identified
23baf95289d3b13a7e1905a488840a57b3187a06bbe55e5e0beefedd79cb990e,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.189797,52.043056,On or near SHACKLETON SQUARE,E01029996,Ipswich 014D,Investigation complete; no suspect identified
c5294457eaa638700e41bbe0f32396980cef67f6fd2530ffe76f8572f13457e6,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.135008,52.060681,On or near YARMOUTH ROAD,E01030023,Ipswich 006B,Investigation complete; no suspect identified
859ab8ab9a7f17e2de0ffa1eb388dcd336ebd8a7d024e79480e492766e323a07,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.161315,52.057972,On or near WOODBRIDGE ROAD,E01033129,Ipswich 007H,Investigation complete; no suspect identified
97a48cd52112d9ea17eb392bd294a420c47d32540ca76b6fec9550e6fab337c5,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.438501,52.082771,On or near MARKET HILL,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
0083cba541c3cdeb6d0acea04b0d7578fdb04c62b9e03208b0b30fdd891271cb,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.744321,52.485230,On or near CHURCH ROAD,E01030262,Waveney 002B,Investigation complete; no suspect identified
52d6abde531b1f7a9692a5f2c78c9f283fcd920a8b13314af3ed2b4712851a3d,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.349068,52.096557,On or near B1083,E01033443,Suffolk Coastal 007F,Investigation complete; no suspect identified
3b34df959d58d2d5624acc76053c9a4314134fc302668c3b680992f9dd086271,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.133893,52.066836,On or near RICHMOND ROAD,E01030026,Ipswich 006E,Investigation complete; no suspect identified
a355a055e67a4428d59535dbdc989fc3d5eaab521b9c5615a8feb5a72b6eb5f7,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.742132,52.239786,On or near GREYFRIARS ROAD,E01030129,St Edmundsbury 005D,Investigation complete; no suspect identified
48ddea514e76af2998a8ac68e47170d40e3b723c5fedaee68de865d18a1d62c4,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.332378,52.106375,On or near Parking Area,E01030194,Suffolk Coastal 005B,Investigation complete; no suspect identified
b41c8ac26cbe3acd1f1ecaa4313164d95185164ad95c3981617572c33b2cdfae,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.153905,52.056759,On or near Shopping Area,E01033125,Ipswich 007G,Investigation complete; no suspect identified
732e71e5c29ffc70564ca20a7c577c50c757bedd00548f0cca3eeb779bbba017,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.046856,52.048992,On or near GEORGE STREET,E01029877,Babergh 005A,Investigation complete; no suspect identified
